j,l,trajectory,M,S,D
229,1,"1 2 3 -2 4 -3 4 2 4 4 -1 -2",48,1,0
230,1,"1 2 4 2 -4 -1 4 4 -2 4 4 -2",24,1,-256
231,1,"1 2 3 -2 4 -3 -3 4 4 4 -1 3",48,1,256
232,1,"1 2 3 4 4 -2 -3 -3 -1 4 3 4",48,1,128
233,1,"1 2 3 4 -2 -2 4 -1 2 -3 4 4",48,1,128
234,1,"1 2 4 3 4 -1 4 2 -3 -2 4 -2",48,1,0
235,1,"1 2 4 -2 -1 2 4 4 2 4 -2 -2",24,1,256
236,1,"1 2 4 4 -1 -2 4 4 2 -4 -2 4",24,1,0
237,1,"1 4 -1 -4 -4 1 4 4 4 -1 4 4",6,1,-512
238,1,"1 2 1 2 4 -1 -1 4 4 4 -2 -2",24,1,0
239,1,"1 2 3 3 4 4 -2 4 -3 4 -1 -3",48,1,-128
240,1,"1 2 -1 -1 4 -2 4 2 1 -2 4 4",24,1,256
241,1,"1 2 4 -2 3 4 4 -3 -3 -1 4 3",48,1,-128
242,1,"1 2 2 -1 2 4 -2 4 -2 -2 4 4",24,1,256
243,1,"1 2 1 4 -2 -1 4 -1 2 4 4 -2",24,1,128
244,1,"1 2 -1 -2 4 -1 4 -2 1 2 4 4",24,1,-128
245,1,"1 2 3 3 -2 4 -3 4 -1 4 4 -3",48,1,-128
246,1,"1 2 3 2 -1 4 4 -2 4 -2 -3 4",48,1,0
247,1,"1 2 -1 4 3 -2 3 4 4 4 -3 -3",48,1,0
248,1,"1 2 3 4 4 -1 4 -3 -3 4 3 -2",48,1,0
249,1,"1 2 3 4 -3 4 -1 -4 -2 4 4 4",48,1,-128
250,1,"1 2 4 4 -2 4 4 -1 3 -4 -3 4",48,1,-128
251,1,"1 2 4 3 4 -3 4 -2 4 -3 -1 3",48,1,-64
252,1,"1 2 -1 -1 4 -2 -2 1 4 4 2 4",24,1,-256
253,1,"1 2 3 4 -2 4 -1 3 4 -3 -3 4",48,1,128
254,1,"1 4 2 -1 4 4 2 4 -2 -4 -2 4",24,1,128
255,1,"1 2 4 3 -1 4 4 4 -2 4 -3 -4",48,1,-128
256,1,"1 2 -1 -2 4 1 -2 4 -1 2 4 4",24,1,128
257,1,"1 2 -1 4 -2 4 2 4 -1 4 -2 1",24,1,-128
258,1,"1 2 -4 3 4 -3 4 -2 4 -1 4 4",48,1,0
259,1,"1 2 4 4 4 3 4 -1 -2 -4 -3 4",48,1,0
260,1,"1 2 1 -2 -2 -1 4 4 4 2 -1 4",24,1,256
261,1,"1 2 1 4 2 -1 4 4 -1 -2 4 -2",24,1,-128
262,1,"1 2 4 -2 4 4 -1 3 3 4 -3 -3",48,1,256
263,1,"1 2 2 4 -2 -2 4 4 -1 2 4 -2",24,1,256
264,1,"1 2 -1 4 -2 1 2 4 -1 -2 4 4",24,1,-128
265,1,"1 2 3 4 -2 -3 4 4 -3 -1 3 4",48,1,128
266,1,"1 2 3 2 4 4 -3 -2 -2 -1 4 4",48,1,256
267,1,"1 2 -1 4 4 4 3 4 3 -2 -3 -3",48,1,-256
268,1,"1 2 -1 2 4 -2 3 -2 4 4 -3 4",48,1,128
269,1,"1 4 -1 -4 -4 -1 4 4 4 1 4 4",6,1,512
270,1,"1 2 3 4 -2 -1 4 2 -3 -2 4 4",48,1,0
271,1,"1 2 3 4 3 -2 4 4 -1 4 -3 -3",48,1,-128
272,1,"1 1 4 -1 -4 1 4 -1 4 -1 4 4",6,1,-256
273,1,"1 2 3 4 2 -3 4 -1 -2 -2 4 4",48,1,0
274,1,"1 2 4 3 4 -3 4 -1 4 4 -2 -4",48,1,-128
275,1,"1 2 3 4 -3 4 4 4 -2 4 -1 -4",48,1,-128
276,1,"1 2 3 4 -1 4 -3 4 -2 -3 4 3",48,1,64
277,1,"1 2 4 3 3 -1 4 4 4 -2 -3 -3",48,1,0
278,1,"1 2 1 4 4 4 2 -1 -1 -2 4 -2",24,1,-256
279,1,"1 2 4 3 4 4 -3 -2 3 4 -1 -3",48,1,128
280,1,"1 2 3 -1 -3 4 4 3 -2 4 4 -3",48,1,-128
281,1,"1 2 3 4 -3 -2 -2 -1 4 2 4 4",48,1,256
282,1,"1 2 4 2 4 -2 4 4 -2 -4 -1 4",24,1,128
283,1,"1 2 4 -1 2 4 4 -2 4 4 -2 -4",24,1,0
284,1,"1 2 -1 4 -1 2 1 4 -2 -2 4 4",24,1,256
285,1,"1 2 3 4 4 -1 -3 -2 -3 4 4 3",48,1,128
286,1,"1 2 -1 4 3 4 -3 -2 3 4 4 -3",48,1,128
287,1,"1 4 2 4 4 -2 -1 -4 -2 4 4 2",24,1,256
288,1,"1 2 4 4 3 4 -1 -3 -2 -3 4 3",48,1,128
289,1,"1 4 2 4 4 -2 4 -2 4 2 -1 -4",24,1,-128
290,1,"1 2 3 4 -1 4 -2 -3 2 4 4 -2",48,1,0
291,1,"1 4 4 4 2 -1 -4 -2 4 2 4 -2",24,1,-256
292,1,"1 2 4 3 4 -2 -3 -1 3 4 -3 4",48,1,64
293,1,"1 2 4 4 3 -2 4 -3 -1 -3 4 3",48,1,128
294,1,"1 2 3 4 -2 4 -1 -2 -3 4 4 2",48,1,0
295,1,"1 2 3 -2 4 -1 -2 -3 2 4 4 4",48,1,-256
296,1,"1 2 2 4 -2 4 -2 -1 -1 4 1 4",12,1,256
297,1,"1 2 3 4 4 -2 4 -3 -2 4 -1 2",48,1,128
298,1,"1 2 4 4 4 -2 3 3 -1 4 -3 -3",48,1,256
299,1,"1 2 1 -2 -2 4 2 4 4 -1 -1 4",24,1,256
300,1,"1 2 3 4 3 4 -1 -2 4 -3 -3 4",48,1,0
301,1,"1 2 4 3 4 3 4 -1 -3 -3 -2 4",48,1,0
302,1,"1 2 1 4 4 -2 -1 2 4 -2 -1 4",24,1,-128
303,1,"1 2 3 -1 4 3 4 -3 -3 -2 4 4",48,1,0
304,1,"1 4 2 4 -2 -4 -4 -1 4 4 4 4",24,1,0
305,1,"1 2 -1 4 -1 2 4 -2 4 -2 4 1",24,1,128
306,1,"1 2 3 -1 4 -2 -3 4 3 4 4 -3",48,1,-128
307,1,"1 2 4 3 4 -2 3 -1 -3 -3 4 4",48,1,128
308,1,"1 2 3 4 4 4 4 -2 -3 -4 -1 4",48,1,256
309,1,"1 2 2 3 4 -3 -2 -2 4 4 -1 4",48,1,256
310,1,"1 2 3 -2 -3 -1 4 4 -3 4 3 4",48,1,0
311,1,"1 2 -1 4 -2 3 4 -2 -3 4 2 4",48,1,0
312,1,"1 2 2 -1 2 4 -2 -2 -2 4 4 4",24,1,512
313,1,"1 2 4 3 4 -1 4 -2 -3 -2 4 2",48,1,128
314,1,"1 2 -1 4 4 -2 -2 4 -1 2 4 1",24,1,256
315,1,"1 2 -1 4 -2 -2 4 2 4 2 4 -2",24,1,-128
316,1,"1 2 2 -1 4 -2 4 -2 -2 4 2 4",24,1,0
317,1,"1 2 -1 -2 4 2 1 4 4 -1 -2 4",24,1,-128
318,1,"1 2 3 4 -3 -3 -1 -2 4 4 3 4",48,1,128
319,1,"1 2 3 -2 -1 2 4 -2 -3 4 4 4",48,1,128
320,1,"1 2 4 -2 4 4 4 -1 3 -4 -3 4",48,1,-128
321,1,"1 2 1 -2 -1 4 -1 -2 4 4 2 4",24,1,128
322,1,"1 2 3 -2 4 4 -1 3 4 -3 -3 4",48,1,128
323,1,"1 2 4 4 -2 4 4 -2 -1 -4 2 4",24,1,0
324,1,"1 2 -1 -2 4 -2 1 4 -1 2 4 4",24,1,-128
325,1,"1 2 2 1 4 -1 -2 -2 -1 4 4 4",24,1,512
326,1,"1 2 4 -1 4 3 -4 -2 4 4 -3 4",48,1,0
327,1,"1 2 3 4 4 -1 -2 3 4 4 -3 -3",48,1,256
328,1,"1 2 3 -1 4 4 -3 -2 4 3 4 -3",48,1,0
329,1,"1 2 3 -1 4 -3 -4 -2 4 4 4 4",48,1,0
330,1,"1 2 3 4 -1 -3 -3 4 4 3 -2 4",48,1,0
331,1,"1 2 3 4 4 4 3 -1 -3 4 -3 -2",48,1,-256
332,1,"1 4 4 2 -4 2 4 -2 -2 -1 4 4",24,1,256
333,1,"1 2 3 4 -3 -1 3 4 -2 4 4 -3",48,1,128
334,1,"1 2 2 3 4 -2 -2 4 -1 4 -3 4",48,1,128
335,1,"1 2 2 2 4 4 -2 4 -2 -1 4 -2",24,1,256
336,1,"1 2 4 -1 3 -2 -3 4 4 -3 4 3",48,1,0
337,1,"1 2 3 4 2 -3 -2 4 -1 -2 4 4",48,1,0
338,1,"1 2 3 3 4 -1 -3 4 4 -2 -3 4",48,1,0
339,1,"1 2 4 4 2 4 -1 -2 -4 -2 4 4",24,1,0
340,1,"1 2 -1 -2 -2 -2 4 4 2 2 4 4",24,1,-512
341,1,"1 2 4 3 4 -2 -2 -3 4 -1 2 4",48,1,128
342,1,"1 2 -1 2 4 -2 3 4 -3 4 -2 4",48,1,64
343,1,"1 4 2 -1 -4 2 4 4 4 4 -2 -2",24,1,512
344,1,"1 2 -1 4 -2 -2 -1 4 2 1 4 4",24,1,256
345,1,"1 2 2 -1 4 3 4 -2 -3 4 4 -2",48,1,-128
346,1,"1 2 -1 -2 4 4 -2 4 2 2 4 -2",24,1,-256
347,1,"1 2 3 4 4 4 -2 3 -1 -3 -3 4",48,1,0
348,1,"1 2 4 4 3 -4 -2 4 -1 4 -3 4",48,1,0
349,1,"1 2 4 3 3 -2 4 4 -3 -1 -3 4",48,1,128
350,1,"1 2 3 -1 -2 -4 -3 4 4 4 4 4",48,1,-256
351,1,"1 2 2 4 2 -1 -2 4 -2 -2 4 4",24,1,-256
352,1,"1 2 4 3 4 -3 -1 3 4 4 -2 -3",48,1,0
353,1,"1 2 2 3 -2 4 4 -1 4 -2 -3 4",48,1,-128
